model_id,table1_rows,table1_columns,horizon,hp_set,prediction_on,id,id2
306,Base specification,Quad,1 month,Default,train-cv,Repeat03,Fold1
307,Base specification,Quad,1 month,Default,train-cv,Repeat03,Fold2
308,Base specification,Quad,1 month,Default,train-cv,Repeat04,Fold1
309,Base specification,Quad,1 month,Default,train-cv,Repeat04,Fold2
310,Base specification,Quad,1 month,Default,train-cv,Repeat05,Fold1
311,Base specification,Quad,1 month,Default,train-cv,Repeat05,Fold2
312,Base specification,Quad,1 month,Default,train-cv,Repeat06,Fold1
313,Base specification,Quad,1 month,Default,train-cv,Repeat06,Fold2
314,Base specification,Quad,1 month,Default,train-cv,Repeat07,Fold1
315,Base specification,Quad,1 month,Default,train-cv,Repeat07,Fold2
316,Base specification,Quad,1 month,Default,train-cv,Repeat08,Fold1
317,Base specification,Quad,1 month,Default,train-cv,Repeat08,Fold2
318,Base specification,Quad,1 month,Default,train-cv,Repeat09,Fold1
319,Base specification,Quad,1 month,Default,train-cv,Repeat09,Fold2
320,Base specification,Quad,1 month,Default,train-cv,Repeat10,Fold1
321,Base specification,Quad,1 month,Default,train-cv,Repeat10,Fold2
322,Base specification,Quad,1 month,Default,train-cv,Repeat11,Fold1
323,Base specification,Quad,1 month,Default,train-cv,Repeat11,Fold2
324,Base specification,Quad,1 month,Default,train-cv,Repeat12,Fold1
325,Base specification,Quad,1 month,Default,train-cv,Repeat12,Fold2
326,Base specification,Quad,1 month,Default,train-cv,Repeat13,Fold1
327,Base specification,Quad,1 month,Default,train-cv,Repeat13,Fold2
328,Base specification,Quad,1 month,Default,train-cv,Repeat14,Fold1
329,Base specification,Quad,1 month,Default,train-cv,Repeat14,Fold2
330,Base specification,Quad,1 month,Default,train-cv,Repeat15,Fold1
331,Base specification,Quad,1 month,Default,train-cv,Repeat15,Fold2
332,Base specification,Quad,1 month,Default,train-cv,Repeat16,Fold1
333,Base specification,Quad,1 month,Default,train-cv,Repeat16,Fold2
334,Base specification,Quad,1 month,Default,train-cv,Repeat17,Fold1
335,Base specification,Quad,1 month,Default,train-cv,Repeat17,Fold2
336,Base specification,Quad,1 month,Default,train-cv,Repeat18,Fold1
337,Base specification,Quad,1 month,Default,train-cv,Repeat18,Fold2
338,Base specification,Quad,1 month,Default,train-cv,Repeat19,Fold1
339,Base specification,Quad,1 month,Default,train-cv,Repeat19,Fold2
